S. No.,Crime Head,Cases Pending Trial from the Previous Year,Cases Sent for Trial during the year,Total Cases for Trial (Col.3+ Col.4),Cases Abated by Court,Cases With-drawn From Prose-cution,Cases Compoun-ded or Compro-mised,Cases Disposed off by Plea Bargaining,Cases Quashed,Cases Disposed off Without Trial (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room,Cases Convicted Out of Cases from Previous Year,Cases Convicted Out of Cases during the Year,Cases Convicted (Col.13+ Col.14),Cases Discharged,Cases Acquitted,Cases in which Trials were Completed (Col.15+ Col.16+ Col.17),Cases Disposed off by Courts (Col.11+ Col.18),Cases Pending Trial at End of the Year (Col.5 - Col.19),Conviction Rate (Col.15/ Col.18) *100,Pendency Percentage (Col.20/ Col.5) *100
1,Tampering computer source documents,23,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24, NA,100
2,Computer Related Offences,1784,965,2749,1,0,188,0,0,189,0,15,3,18,2,114,134,323,2426,13.4,88.3
2.1,Computer Related Offences,1045,208,1253,0,0,16,0,0,16,0,9,0,9,1,17,27,43,1210,33.3,96.6
2.1.1,Ransom-ware,188,84,272,0,0,0,0,0,0,0,0,0,0,0,1,1,1,271,0,99.6
2.1.2,Offences other than Ransom-ware,857,124,981,0,0,16,0,0,16,0,9,0,9,1,16,26,42,939,34.6,95.7
2.2,Dishonestly receiving stolen computer resource or communication device,25,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40, NA,100
2.3,Identity Theft,384,160,544,0,0,0,0,0,0,0,6,0,6,1,6,13,13,531,46.2,97.6
2.4,Cheating by personation by using computer resource,302,569,871,1,0,172,0,0,173,0,0,3,3,0,88,91,264,607,3.3,69.7
2.5,Violation of Privacy,28,13,41,0,0,0,0,0,0,0,0,0,0,0,3,3,3,38,0,92.7
3,Cyber Terrorism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
4,Publication/transmission of obscene / sexually explicit act in electronic form,286,228,514,0,0,28,0,0,28,0,4,3,7,0,15,22,50,464,31.8,90.3
4.1,Publishing or transmitting obscene material in Electronic Form,178,103,281,0,0,1,0,0,1,0,4,0,4,0,4,8,9,272,50,96.8
4.2,Publishing or transmitting of material containing Sexually explicit act in electronic form,102,121,223,0,0,27,0,0,27,0,0,3,3,0,11,14,41,182,21.4,81.6
4.3,Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, NA,100
4.4,Preservation and retention of information by intermediaries,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, NA,100
4.5,Other Sections 67 IT Act,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, NA,100
5,Interception or Monitoring or decryption of Information,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, NA,100
6,Un-authorized access/attempt to  access to protected computer system,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, NA,100
7,Abetment to Commit Offences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA,
8,Attempt to Commit Offences,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, NA,100
9,Other Sections of IT Act,203,67,270,0,0,1,0,1,2,0,0,1,1,10,1,12,14,256,8.3,94.8
Total,Total Offences under I.T. Act,2300,1262,3562,1,0,217,0,1,219,0,19,7,26,12,130,168,387,3175,15.5,89.1
11,Abetment of Suicide (Online),2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, NA,100
12,Cyber Stalking/Bullying of Women/Children,152,115,267,0,0,2,0,2,4,0,1,0,1,0,4,5,9,258,20,96.6
13,Data theft,22,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30, NA,100
14,Fraud,372,133,505,2,0,3,0,0,5,0,2,0,2,2,1,5,10,495,40,98
14.1,Credit Card/Debit Card,21,3,24,0,0,0,0,0,0,0,1,0,1,0,0,1,1,23,100,95.8
14.2,ATMs,237,51,288,1,0,1,0,0,2,0,0,0,0,0,0,0,2,286, NA,99.3
14.3,Online Banking Fraud,43,31,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74, NA,100
14.4,OTP Frauds,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10, NA,100
14.5,Others,61,48,109,1,0,2,0,0,3,0,1,0,1,2,1,4,7,102,25,93.6
15,Cheating,470,165,635,0,0,2,0,1,3,0,0,0,0,1,8,9,12,623,0,98.1
16,Forgery,72,23,95,0,0,0,0,0,0,0,0,0,0,0,1,1,1,94,0,98.9
17,Defamation/Morphing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
18,Fake Profile,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, NA,100
19,Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
19.1,Currency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
19.2,Stamps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
20,Cyber Blackmailing/Threatening,12,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22, NA,100
21,Fake News on Social Media ,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, NA,100
22,Other Offences,691,157,848,0,0,1,0,0,1,0,6,1,7,0,14,21,22,826,33.3,97.4
Total,Total Offences under IPC,1800,614,2414,2,0,8,0,3,13,0,9,1,10,3,28,41,54,2360,24.4,97.8
24,Gambling Act (Online Gambling),6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, NA,100
25,Lotteries Act (Online Lotteries),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
26,Copy Right Act,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, NA,100
27,Trade Marks Act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, NA, NA
28,Other SLL Crimes,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, NA,100
Total,Total Offences under SLL,25,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27, NA,100
Grand Total,Total Cyber Crimes,4125,1878,6003,3,0,225,0,4,232,0,28,8,36,15,158,209,441,5562,17.2,92.7
